ID,Entry_Term,DegreeDate,DegreeEarned,DegreeMajor,DegreeGPA,HSGPA,ACTMath,ACTEnglish,Gender,Race,Citizenship,First_Gen,HomeState,EFC,FamilyIncome,FatherEdLevel,MotherEdLevel,PELL,Loan,TOPS,CampHousing,Greek,FirstSemGPA,FirstYearGPA,SecondYearGPA,SixyearCompletion,FirstYrCalcorHigherCompletion,FirstYrStEMRetention,SecondYrSTEMRetention,FirstYrEarnedCreditHours,SecondYrEarnedCreditHours,STEMDegreeCompletion
31454,Fall2012,Spring2016,BS,ISDS  ,3.147,3.34,25,24,1,7,1,0,1,57511,402905,4,4,0,0,1,0,1,2.785,3.000,3.088,1,1,0,0,23,53,0
31709,Fall2012,,,,,3.50,28,31,1,7,1,1,1,13907,132357,1,2,0,1,1,0,0,2.000,1.906,1.813,0,1,1,0,28,39,0
32326,Fall2012,Spring2016,BS,BIOL  ,3.884,4.00,26,34,0,7,1,0,1,0,29854,5,4,1,1,1,0,0,4.000,4.000,3.885,1,1,1,1,28,61,1
32355,Fall2012,Spring2016,BS,KIN   ,2.955,3.41,22,19,0,2,1,1,1,2221,36435,0,2,1,1,1,0,0,3.250,3.500,3.285,1,0,0,0,26,52,0
32401,Fall2012,Spring2017,BSPETE,PETE  ,2.993,3.92,27,29,1,7,1,0,1,99999,314000,4,4,0,0,1,0,1,2.428,2.592,2.883,1,1,1,1,27,57,1
32486,Fall2012,Spring2017,BSME,ME    ,3.214,3.22,36,24,1,1,0,0,1,29403,120710,1,6,0,0,1,0,0,4.000,3.555,3.421,1,1,1,1,24,58,1
32553,Fall2012,Fall2017,BIS,IS    ,2.620,3.50,27,29,1,7,1,0,1,99999,568765,4,4,0,0,1,0,1,2.500,2.555,2.644,1,1,1,1,27,59,0
32910,Fall2012,Spring2016,BS,BIOL  ,3.206,    ,26,23,1,2,1,1,1,0,0,6,0,1,1,1,0,0,2.800,2.583,2.970,1,0,1,1,30,64,1
33849,Fall2012,Spring2016,BS,BIOL  ,2.582,3.78,27,26,0,7,1,0,0,99999,284268,5,1,0,0,0,0,1,2.066,2.387,2.705,1,1,0,0,15,15,1
34268,Fall2012,,,,,2.83,25,27,0,3,1,1,1,0,0,6,0,1,0,1,1,0,0.538,0.903,     ,0,0,0,0,19,19,0
35219,Fall2012,Spring2016,BSME,ME    ,3.531,3.64,29,26,1,7,1,0,0,20221,157025,4,4,0,0,0,0,0,4.000,3.903,3.523,1,1,1,1,31,60,1
35246,Fall2012,,,,,3.23,30,30,1,7,1,1,1,63633,184361,2,2,0,1,1,0,0,1.500,0.500,0.300,0,0,0,0,6,6,0
36158,Fall2012,Summer2017,BA,ANTH  ,2.200,3.16,21,24,0,1,1,1,1,0,17193,6,1,1,0,1,0,0,0.600,1.391,1.804,1,0,1,0,13,28,0
36680,Fall2012,Spring2017,BS,PHYS  ,3.154,3.55,30,32,1,7,1,0,1,43023,137246,4,4,0,0,1,0,0,2.666,2.937,3.101,1,1,1,1,32,59,1
37330,Fall2012,,,,,3.91,26,21,1,7,1,0,1,13124,114377,4,1,0,1,1,0,0,2.375,2.232,2.211,0,0,1,1,26,54,0
38811,Fall2012,,,,,3.96,27,33,1,7,1,0,1,24933,144750,4,4,0,0,1,0,0,2.214,2.312,1.930,0,1,1,0,32,35,0
38935,Fall2012,Spring2016,BS,KIN   ,3.724,3.51,22,27,0,7,1,1,1,6666,80863,0,2,0,1,1,0,0,4.000,3.909,3.733,1,1,1,0,27,54,0
38967,Fall2012,Spring2016,BSME,ME    ,3.534,4.00,36,36,1,7,1,0,1,21698,108600,4,2,0,0,1,0,0,4.000,4.000,3.883,1,1,1,1,30,60,1
38987,Fall2012,Spring2017,BSPETE,PETE  ,3.530,3.81,28,27,1,7,1,0,1,99999,273277,4,2,0,0,1,0,0,4.000,3.903,3.812,1,1,1,1,31,64,1
40085,Fall2012,Fall2016,BS,MKT   ,2.442,3.00,22,23,0,7,1,0,1,98348,202000,2,4,0,0,1,0,1,2.400,2.400,2.509,1,0,0,0,30,55,0
40824,Fall2012,Spring2017,BS,MBIO  ,3.071,3.78,26,23,1,2,1,0,1,3494,43688,6,6,1,1,1,0,0,1.166,2.173,2.786,1,1,0,1,12,48,1
41058,Fall2012,Fall2016,BS,PSYCS ,2.761,3.68,27,25,1,7,1,0,1,5383,86558,4,4,0,0,1,0,0,2.866,3.000,2.442,1,1,1,1,28,61,0
41841,Fall2012,Spring2017,BSIE,IE    ,2.991,3.69,26,24,1,7,1,0,0,29223,136227,4,4,0,1,1,0,0,2.812,2.833,2.878,1,1,1,1,26,56,1
42137,Fall2012,Spring2017,BSME,ME    ,3.511,3.68,23,30,1,7,1,0,1,8628,98537,5,4,0,0,1,0,0,3.687,3.861,3.739,1,1,1,1,31,64,1
42284,Fall2012,Spring2016,BS,AGBU  ,2.968,3.23,22,25,1,7,1,0,1,94,40200,4,4,1,0,1,0,1,3.000,3.000,2.983,1,0,0,0,29,60,0
42567,Fall2012,Spring2016,BS,KIN   ,3.864,3.93,27,30,0,7,1,0,1,9902,78439,4,4,0,0,1,0,0,4.000,3.926,3.826,1,0,1,0,30,58,0
43140,Fall2012,Spring2018,BA,SPAN  ,2.921,3.42,33,34,1,3,1,0,1,3126,45348,4,4,1,0,1,0,0,2.125,0.772,1.186,1,1,1,0,8,22,0
44055,Fall2012,Spring2017,BS,ADP   ,2.822,3.42,27,29,0,7,1,0,1,82437,173577,5,4,0,0,1,0,1,2.700,2.538,2.649,1,0,1,0,26,54,0
45140,Fall2012,Spring2018,BSPE,PETE  ,2.661,3.78,21,22,1,7,1,0,1,0,32267,4,4,0,0,1,0,1,3.500,2.727,3.107,1,0,1,1,22,47,1
45974,Fall2012,Fall2016,BS,ISDS  ,3.017,3.47,26,29,1,7,1,0,1,33659,271694,5,4,0,0,1,0,1,1.900,2.500,2.875,1,0,0,0,23,53,0
45997,Fall2012,Fall2017,BIS,IS    ,2.643,3.11,25,24,0,7,1,0,1,45483,188126,4,4,0,0,1,0,0,2.400,2.636,2.745,1,0,1,0,27,53,0
46218,Fall2012,Spring2017,BSPETE,PETE  ,3.296,3.97,25,24,1,7,1,1,1,0,32661,2,1,1,0,1,0,0,2.400,2.666,3.032,1,1,1,1,30,61,1
46425,Fall2012,Fall2017,BS,MKT   ,2.347,    ,  ,  ,0,4,0,0,0,          ,          ,4,4,0,0,0,0,0,0.000,1.153,2.425,1,0,0,0,12,36,0
46972,Fall2012,,,,,3.09,30,35,1,7,1,0,1,11435,112470,5,6,0,1,1,0,0,2.705,2.407,1.720,0,1,1,1,27,33,0
47003,Fall2012,Spring2016,BS,BIOL  ,3.752,3.38,26,26,1,7,1,0,0,37497,127900,4,4,0,1,1,0,0,3.785,3.903,3.852,1,0,1,1,31,61,1
47024,Fall2012,Spring2016,BSBE,BE    ,3.729,3.90,28,32,0,7,1,0,1,39360,291432,1,4,0,1,1,0,1,3.705,3.892,3.772,1,1,1,1,25,55,1
47064,Fall2012,Spring2016,BA,COMD  ,3.655,3.81,22,25,0,7,1,1,1,21057,117676,0,0,0,0,1,0,0,3.200,3.464,3.333,1,0,0,0,28,57,0
48479,Fall2012,,,,,3.13,22,22,1,3,1,0,1,9409,101500,5,2,0,0,1,0,0,2.500,3.200,     ,0,0,0,0,12,12,0
48666,Fall2012,Spring2016,BS,BIOL  ,3.656,3.09,23,20,1,7,1,0,1,          ,          ,5,5,0,0,1,0,1,3.000,3.200,3.493,1,0,1,1,24,55,1
48714,Fall2012,Fall2015,BS,BIOL  ,3.843,3.92,35,30,1,1,0,0,1,20589,107000,5,5,0,0,1,0,0,4.000,3.909,3.900,1,0,1,1,33,60,1
48725,Fall2012,Spring2016,BS,NREM  ,3.437,3.82,27,29,0,7,1,0,1,1183,32273,5,4,1,1,1,0,0,2.416,3.418,3.416,1,1,1,0,25,54,0
49265,Fall2012,,,,,3.33,29,25,1,7,1,0,0,99999,94428,5,4,0,0,0,0,0,1.500,1.384,2.023,0,1,1,1,21,46,0
50137,Fall2012,,,,,3.98,31,30,1,7,1,0,1,14893,135450,4,2,0,0,1,0,0,3.437,3.310,2.469,0,1,1,1,30,40,0
50224,Fall2012,,,,,    ,31,28,1,4,0,0,1,          ,          ,5,5,0,0,0,0,0,4.000,3.653,     ,0,1,1,0,26,26,0
50545,Fall2012,Spring2017,BS,KIN   ,3.094,3.64,22,25,0,7,1,0,1,          ,          ,4,4,0,0,1,0,1,3.000,2.920,2.444,1,0,1,0,25,49,0
50551,Fall2012,Spring2017,BS,KIN   ,2.513,3.10,25,24,0,7,1,0,0,22059,106139,6,6,0,1,1,0,0,3.000,3.000,2.314,1,0,0,0,15,36,0
52280,Fall2012,Spring2016,BA,ANTH  ,3.203,3.94,31,35,1,7,1,0,1,738,37821,4,4,1,1,1,0,0,3.461,3.346,2.770,1,1,1,0,27,46,0
52605,Fall2012,Spring2016,BS,BIOL  ,3.495,4.00,28,32,0,6,1,1,1,26865,133944,2,2,0,1,1,0,0,3.812,3.909,3.764,1,1,1,1,34,69,1
